rank,gid,role,priority_score,why
12,537,coordinator,0.933664,"Приоритет проверки 0.933664 (0–1, с поправками; не вероятность). Роль coordinator: вес 1.00, сила правила 0.742308. Процентили: центральность компоненты 100.000000; оборот графа 98.087189. Шкала 0–100 = 100×средний ранг/N; равным значениям — средний ранг."
13,249,coordinator,0.933544,"Приоритет проверки 0.933544 (0–1, с поправками; не вероятность). Роль coordinator: вес 1.00, сила правила 0.776026. Процентили: центральность компоненты 99.840170; оборот графа 89.857651. Шкала 0–100 = 100×средний ранг/N; равным значениям — средний ранг."
14,539,coordinator,0.933403,"Приоритет проверки 0.933403 (0–1, с поправками; не вероятность). Роль coordinator: вес 1.00, сила правила 0.777273. Процентили: центральность компоненты 95.454545; оборот графа 98.176157. Шкала 0–100 = 100×средний ранг/N; равным значениям — средний ранг."
15,265,coordinator,0.933248,"Приоритет проверки 0.933248 (0–1, с поправками; не вероятность). Роль coordinator: вес 1.00, сила правила 0.775759. Процентили: центральность компоненты 99.413958; оборот графа 90.480427. Шкала 0–100 = 100×средний ранг/N; равным значениям — средний ранг."
16,237,coordinator,0.933189,"Приоритет проверки 0.933189 (0–1, с поправками; не вероятность). Роль coordinator: вес 1.00, сила правила 0.783198. Процентили: центральность компоненты 98.721364; оборот графа 89.946619. Шкала 0–100 = 100×средний ранг/N; равным значениям — средний ранг."
17,243,coordinator,0.932894,"Приоритет проверки 0.932894 (0–1, с поправками; не вероятность). Роль coordinator: вес 1.00, сила правила 0.775093. Процентили: центральность компоненты 99.520511; оборот графа 90.080071. Шкала 0–100 = 100×средний ранг/N; равным значениям — средний ранг."
18,541,coordinator,0.931971,"Приоритет проверки 0.931971 (0–1, с поправками; не вероятность). Роль coordinator: вес 1.00, сила правила 0.775000. Процентили: центральность компоненты 95.000000; оборот графа 98.220641. Шкала 0–100 = 100×средний ранг/N; равным значениям — средний ранг."
19,247,coordinator,0.93169,"Приоритет проверки 0.931690 (0–1, с поправками; не вероятность). Роль coordinator: вес 1.00, сила правила 0.774161. Процентили: центральность компоненты 99.946723; оборот графа 88.256228. Шкала 0–100 = 100×средний ранг/N; равным значениям — средний ранг."
20,505,coordinator,0.931486,"Приоритет проверки 0.931486 (0–1, с поправками; не вероятность). Роль coordinator: вес 1.00, сила правила 0.766667. Процентили: центральность компоненты 96.666667; оборот графа 96.485765. Шкала 0–100 = 100×средний ранг/N; равным значениям — средний ранг."
21,259,coordinator,0.931361,"Приоритет проверки 0.931361 (0–1, с поправками; не вероятность). Роль coordinator: вес 1.00, сила правила 0.772829. Процентили: центральность компоненты 98.881193; оборот графа 90.391459. Шкала 0–100 = 100×средний ранг/N; равным значениям — средний ранг."
22,261,coordinator,0.930738,"Приоритет проверки 0.930738 (0–1, с поправками; не вероятность). Роль coordinator: вес 1.00, сила правила 0.771897. Процентили: центральность компоненты 98.508258; оборот графа 90.747331. Шкала 0–100 = 100×средний ранг/N; равным значениям — средний ранг."
23,235,coordinator,0.930541,"Приоритет проверки 0.930541 (0–1, с поправками; не вероятность). Роль coordinator: вес 1.00, сила правила 0.771364. Процентили: центральность компоненты 98.987746; оборот графа 89.724199. Шкала 0–100 = 100×средний ранг/N; равным значениям — средний ранг."
24,257,coordinator,0.929987,"Приоритет проверки 0.929987 (0–1, с поправками; не вероятность). Роль coordinator: вес 1.00, сила правила 0.770964. Процентили: центральность компоненты 99.094299; оборот графа 89.056940. Шкала 0–100 = 100×средний ранг/N; равным значениям — средний ранг."
25,263,coordinator,0.929015,"Приоритет проверки 0.929015 (0–1, с поправками; не вероятность). Роль coordinator: вес 1.00, сила правила 0.769233. Процентили: центральность компоненты 98.135322; оборот графа 90.435943. Шкала 0–100 = 100×средний ранг/N; равным значениям — средний ранг."
26,495,coordinator,0.928858,"Приоритет проверки 0.928858 (0–1, с поправками; не вероятность). Роль coordinator: вес 1.00, сила правила 0.760185. Процентили: центральность компоненты 96.296296; оборот графа 96.218861. Шкала 0–100 = 100×средний ранг/N; равным значениям — средний ранг."
27,275,coordinator,0.928798,"Приоритет проверки 0.928798 (0–1, с поправками; не вероятность). Роль coordinator: вес 1.00, сила правила 0.768966. Процентили: центральность компоненты 97.815663; оборот графа 90.925267. Шкала 0–100 = 100×средний ранг/N; равным значениям — средний ранг."
28,287,coordinator,0.92865,"Приоритет проверки 0.928650 (0–1, с поправками; не вероятность). Роль coordinator: вес 1.00, сила правила 0.776538. Процентили: центральность компоненты 96.483751; оборот графа 91.548043. Шкала 0–100 = 100×средний ранг/N; равным значениям — средний ранг."
29,277,coordinator,0.92795,"Приоритет проверки 0.927950 (0–1, с поправками; не вероятность). Роль coordinator: вес 1.00, сила правила 0.767635. Процентили: центральность компоненты 97.602557; оборот графа 90.836299. Шкала 0–100 = 100×средний ранг/N; равным значениям — средний ранг."
30,273,coordinator,0.927675,"Приоритет проверки 0.927675 (0–1, с поправками; не вероятность). Роль coordinator: вес 1.00, сила правила 0.766969. Процентили: центральность компоненты 98.082046; оборот графа 89.768683. Шкала 0–100 = 100×средний ранг/N; равным значениям — средний ранг."
